schema_name,document_type,schema_strata_name
answer,answer,answer_et_al
help_page,help_page,answer_et_al
transaction,transaction,answer_et_al
licence,licence,answer_et_al
case_study,case_study,case_study
consultation,closed_consultation,consultation
consultation,consultation_outcome,consultation
consultation,open_consultation,consultation
contact,contact,contact
corporate_information_page,about,corporate_information_page
corporate_information_page,about_our_services,corporate_information_page
corporate_information_page,access_and_opening,corporate_information_page
corporate_information_page,accessible_documents_policy,corporate_information_page
corporate_information_page,complaints_procedure,corporate_information_page
corporate_information_page,equality_and_diversity,corporate_information_page
corporate_information_page,media_enquiries,corporate_information_page
corporate_information_page,membership,corporate_information_page
corporate_information_page,modern_slavery_statement,corporate_information_page
corporate_information_page,our_energy_use,corporate_information_page
corporate_information_page,our_governance,corporate_information_page
corporate_information_page,personal_information_charter,corporate_information_page
corporate_information_page,petitions_and_campaigns,corporate_information_page
corporate_information_page,procurement,corporate_information_page
corporate_information_page,publication_scheme,corporate_information_page
corporate_information_page,recruitment,corporate_information_page
corporate_information_page,research,corporate_information_page
corporate_information_page,social_media_use,corporate_information_page
corporate_information_page,staff_update,corporate_information_page
corporate_information_page,statistics,corporate_information_page
corporate_information_page,terms_of_reference,corporate_information_page
detailed_guide,detailed_guidance,detailed_guide
detailed_guide,detailed_guide,detailed_guide
document_collection,document_collection,document_collection
fatality_notice,fatality_notice,fatality_notice
guide,guide,guide
hmrc_manual_section,hmrc_manual_section,hmrc_manual_section
html_publication,html_publication,html_publication
manual,manual,manual
manual_section,manual_section,manual
news_article,government_response,news_article
news_article,news_story,news_article
news_article,press_release,news_article
person,person,person
place,place,place_travel
travel_advice,travel_advice,place_travel
publication,correspondence,pub_correspondence
publication,promotional,pub_correspondence
publication,foi_release,pub_foi_notice
publication,notice,pub_foi_notice
publication,transparency,pub_foi_notice
publication,decision,pub_decision_report
publication,independent_report,pub_decision_report
publication,impact_assessment,pub_research
publication,research,pub_research
publication,national_statistics,pub_stats
publication,official_statistics,pub_stats
publication,regulation,pub_standard_et_al
publication,standard,pub_standard_et_al
publication,statutory_guidance,pub_standard_et_al
publication,international_treaty,pub_standard_et_al
publication,map,pub_standard_et_al
publication,corporate_report,pub_corporate_report
publication,form,form
publication,guidance,guidance
publication,policy_paper,policy_paper
role,ministerial_role,role
specialist_document,raib_report,specialist_docs_aaib
specialist_document,aaib_report,specialist_docs_aaib
specialist_document,employment_appeal_tribunal_decision,specialist_docs_decisions
specialist_document,employment_tribunal_decision,specialist_docs_decisions
specialist_document,residential_property_tribunal_decision,specialist_docs_decisions
specialist_document,tax_tribunal_decision,specialist_docs_decisions
specialist_document,utaac_decision,specialist_docs_decisions
specialist_document,research_for_development_output,specialist_docs_research_dev
specialist_document,asylum_support_decision,specialist_docs_others
specialist_document,business_finance_support_scheme,specialist_docs_others
specialist_document,cma_case,specialist_docs_others
specialist_document,countryside_stewardship_grant,specialist_docs_others
specialist_document,dfid_research_output,specialist_docs_others
specialist_document,drcf_digital_markets_research,specialist_docs_others
specialist_document,drug_safety_update,specialist_docs_others
specialist_document,esi_fund,specialist_docs_others
specialist_document,export_health_certificate,specialist_docs_others
specialist_document,flood_and_coastal_erosion_risk_management_research_report,specialist_docs_others
specialist_document,international_development_fund,specialist_docs_others
specialist_document,maib_report,specialist_docs_others
specialist_document,medical_safety_alert,specialist_docs_others
specialist_document,product_safety_alert_report_recall,specialist_docs_others
specialist_document,protected_food_drink_name,specialist_docs_others
specialist_document,service_standard_report,specialist_docs_others
specialist_document,statutory_instrument,specialist_docs_others
specialist_document,uk_market_conformity_assessment_body,specialist_docs_others
speech,authored_article,speech
speech,oral_statement,speech
speech,speech,speech
speech,written_statement,speech
statistical_data_set,statistical_data_set,statistics
statistics_announcement,national,statistics
statistics_announcement,national_statistics_announcement,statistics
statistics_announcement,official,statistics
statistics_announcement,official_statistics_announcement,statistics
statistics_announcement,statistics_announcement,statistics
take_part,take_part,topic_take_part
topical_event_about_page,topical_event_about_page,topic_take_part
working_group,working_group,organisation
organisation,organisation,organisation